id,jurisdiction,geo_scope,country,state,state_code,title,tech_category,status,effective_date,risk_score,risk_rag,criticality,evidence_status,source_count
REG-6FE2316B,United States (Federal),US_FEDERAL,,United States,,Executive Order on Cybercrime and Online Fraud,AI,Enacted,2026-03-10,20,Red,5,Partially,1
REG-F8C2EB28,United States (Federal),US_FEDERAL,,United States,,Executive Order: Ensuring a National Policy Framework for AI,AI,Enacted,2026-03-12,20,Red,5,Partially,2
REG-83677781,China,COUNTRY,China,China,,AI Agent Security Guidelines,AI,Enacted,2026-03-12,20,Red,5,Partially,1
REG-28C2658F,Brazil,COUNTRY,Brazil,Brazil,,International AI Monitoring Standards,Biometrics,Enacted,2026-03-13,20,Red,5,Partially,1
REG-B8BEA618,United States (Federal),US_FEDERAL,,United States,,Department of Defense Supply Chain Risk Designation,AI,Enacted,2026-02-27,20,Red,5,Partially,2
REG-0AA3D219,United States (Federal),US_FEDERAL,,United States,,FAA Order 2150.3C Change 13,Drones/UAS,Enacted,2026-03-14,20,Red,5,Partially,1
REG-FA1F825C,"Minnesota, USA",US_STATE,,Minnesota,MN,FAA NOTAM FDC 6/4375,Drones/UAS,Enacted,2026-01-16,20,Red,5,Partially,1
REG-0EA9F2DF,Ireland,COUNTRY,Ireland,Ireland,,Shoplifting Probe Defamation Shield,AI,Enacted,2026-03-14,20,Red,5,Partially,1
REG-2DF99A20,"California, USA",US_STATE,,California,CA,CPRA Enforcement,Data Privacy,Enacted,2026-03-15,20,Red,5,Partially,2
REG-E95904C6,Unknown (City Level),COUNTRY,Unknown (City Level),Unknown (City Level),,Anthropic Supply-Chain Designation,AI,Enacted,2026-03-15,20,Red,5,Partially,1
REG-8FC3F720,United States (Federal),US_FEDERAL,,United States,,Meta Ray-Ban Privacy Lawsuit,Data Privacy,Enacted,2026-03-16,20,Red,5,Partially,1
REG-D0C22E4C,South Korea,COUNTRY,South Korea,South Korea,,FTC Lotte Shopping Fine,Data Privacy,Enacted,2026-03-15,20,Red,5,Partially,1
REG-E192ABB9,Global,GLOBAL,Global,,,Discord Safety Update,Biometrics,Enacted,2026-03-16,20,Red,5,Partially,1
REG-A2975316,United States (Federal),US_FEDERAL,,United States,,White House Executive Order (Fakes),Data Privacy,Enacted,2026-03-13,20,Red,5,Partially,1
REG-773E451A,South Korea,COUNTRY,South Korea,South Korea,,Fair Trade Commission (FTC) Enforcement,AI,Enacted,2026-03-15,20,Red,5,Partially,1
REG-4EDD91EF,United States (Federal),US_FEDERAL,,United States,,Anthropic Blacklisting,AI,Enacted,2026-03-03,20,Red,5,Partially,2
REG-DD9BDE0D,United States (Federal),US_FEDERAL,,United States,,Anthropic Blacklisting (Supply Chain),AI,Enacted,2026-03-03,20,Red,5,Partially,1
REG-2505DB02,United States (Federal),US_FEDERAL,,United States,,Section 702 (FISA),Data Privacy,Enacted,2026-04-20,20,Red,5,Partially,3
REG-A077CBE4,United States (Federal),US_FEDERAL,,United States,,California Privacy Rights Act (CPRA) Enforcement,Data Privacy,Enacted,2026-03-15,20,Red,5,Partially,1
REG-98121CE2,"Wisconsin, USA",US_STATE,,Wisconsin,WI,Recidivist Retail Theft Law,AI,Enacted,2026-03-21,20,Red,5,Partially,1
REG-56117F56,"California, USA",US_STATE,,California,CA,California Privacy Rights Act (CPRA),Data Privacy,Enacted,2026-03-03,20,Red,5,Partially,2
REG-D2049D12,United States (Federal),US_FEDERAL,,United States,,CPRA Enforcement,Data Privacy,Enacted,2026-03-23,20,Red,5,Partially,1
REG-F1CE32DD,United States (Federal),US_FEDERAL,,United States,,Oklahoma Consumer Data Privacy Act,Data Privacy,Enacted,2026-03-23,20,Red,5,Partially,1
REG-77B4B202,"California, USA",US_STATE,,California,CA,San Francisco Facial Recognition Ban,Biometrics,Enacted,2026-03-25,20,Red,5,Partially,3
REG-033A9EE9,United States (Federal),US_FEDERAL,,United States,,FAA BVLOS Authorization,Drones/UAS,Enacted,2026-03-25,20,Red,5,Partially,1
REG-64E291CB,United States (Federal),US_FEDERAL,,United States,,Air AI FTC Settlement,AI,Enacted,2026-03-24,20,Red,5,Partially,1
REG-0AE12AC7,United States (Federal),US_FEDERAL,,United States,,Biometric Privacy Lawsuits,Biometrics,Enacted,2026-03-27,20,Red,5,Partially,1
REG-719F484C,United States (Federal),US_FEDERAL,,United States,,Meta Settlement,Data Privacy,Enacted,2026-03-27,20,Red,5,Partially,1
REG-D8C3D39F,United States (Federal),US_FEDERAL,,United States,,California CPRA Enforcement,Data Privacy,Enacted,2024-12-01,20,Red,5,Partially,1
REG-BF89B3B3,"Florida, USA",US_STATE,,Florida,FL,Immigration Enforcement Funding,ALPR/LPR,Enacted,2026-03-30,20,Red,5,Partially,1
REG-4CF3E4EC,South Korea,COUNTRY,South Korea,South Korea,,TTA PG507,AI,Enacted,2026-03-30,20,Red,5,Partially,1
REG-B08C76AD,United States (Federal),US_FEDERAL,,United States,,Driver Privacy Act (SB 6002),ALPR/LPR,Enacted,2026-03-30,20,Red,5,Partially,1
REG-51BE4C2B,United States (Federal),US_FEDERAL,,United States,,Oklahoma Data Privacy Act (SB 546),Data Privacy,Enacted,2026-03-31,20,Red,5,Partially,1
REG-00720D5D,South Korea,COUNTRY,South Korea,South Korea,,Basic AI Act,AI,Enacted,2026-02-01,20,Red,5,Partially,3
REG-2E26BE76,United States (Federal),US_FEDERAL,,United States,,Legislative Document 61 (Workplace Electronic Surveillance),Data Privacy,Enacted,2026-07-14,20,Red,5,Partially,1
REG-EE1D9AD5,United States (Federal),US_FEDERAL,,United States,,FAA Drone Operations Approval (Titan Protection),Drones/UAS,Enacted,2026-02-05,20,Red,5,Partially,1
REG-38BBC612,United States (Federal),US_FEDERAL,,United States,,FTC AI enforcement approach shift (Reuters Legal News / Skadden analysis),AI,Enacted,2026-02-04,20,Red,5,Partially,1
REG-5900663D,United States (Federal),US_FEDERAL,,United States,,Responsible AI Safety and Evaluation (RAISE) Act,AI,Enacted,2026-02-08,20,Red,5,Partially,1
REG-A3BE6680,United States (Federal),US_FEDERAL,,United States,,City Ordinance / Police Ban,Biometrics,Enacted,2026-02-09,20,Red,5,Partially,1
REG-2CA9A1DD,United States (Federal),US_FEDERAL,,United States,,An Act to Regulate Employer Surveillance to Protect Workers (L.D. 61 / H.P. 25; Public Law Ch. 524),Data Privacy,Enacted,2026-01-11,20,Red,5,Partially,1
REG-4FCA0DE1,United States (Federal),US_FEDERAL,,United States,,FAA Reauthorization Act of 2026,Drones/UAS,Enacted,2026-02-08,20,Red,5,Partially,1
REG-543A6F3F,United States (Federal),US_FEDERAL,,United States,,Responsible AI Safety and Education (RAISE) Act (S6953B/A6453B),AI,Enacted,2025-12-19,20,Red,5,Partially,1
REG-4B82F677,United States (Federal),US_FEDERAL,,United States,,FTC Consent Order (Rytr),AI,Enacted,,20,Red,5,Partially,1
REG-AFFE2529,"Illinois, USA",US_STATE,,Illinois,IL,BIPA (Biometric Information Privacy Act),Biometrics,Enacted,,20,Red,5,Partially,1
REG-808897A5,United States (Federal),US_FEDERAL,,United States,,BIPA Class Action Settlement (Kenvue),Biometrics,Enacted,2026-02-20,20,Red,5,Partially,1
REG-D9E68F42,Global,GLOBAL,Global,,,Pax Silica Declaration,AI,Enacted,2026-02-20,20,Red,5,Partially,2
REG-A76B4059,"Connecticut, USA",US_STATE,,Connecticut,CT,Connecticut Data Privacy Act (CTDPA),Data Privacy,Enacted,2026-02-21,20,Red,5,Partially,3
REG-7A6DCEF2,United States (Federal),US_FEDERAL,,United States,,DoD AI Guidelines,AI,Enacted,2026-02-21,20,Red,5,Partially,2
REG-75EE14FC,United States (Federal),US_FEDERAL,,United States,,First Amendment/Privacy lawsuit against DHS,Biometrics,Enacted,2026-02-24,20,Red,5,Partially,2
REG-2574AC87,United States (Federal),US_FEDERAL,,United States,,EO 14179 / Department of War AI Strategy,AI,Enacted,2026-02-24,20,Red,5,Partially,2
REG-7C9C8E17,"California, USA",US_STATE,,California,CA,California Public Records Act (CPRA),Data Privacy,Enacted,2026-02-24,20,Red,5,Partially,3
REG-D84E106D,United States (Federal),US_FEDERAL,,United States,,Secure Equipment Act / FCC Covered List,Drones/UAS,Enacted,2026-02-25,20,Red,5,Partially,1
REG-7979787E,United States (Federal),US_FEDERAL,,United States,,Drone Espionage Act,Drones/UAS,Enacted,2026-02-25,20,Red,5,Partially,1
REG-9882B502,South Korea,COUNTRY,South Korea,South Korea,,AI Law,AI,Enacted,2026-02-26,20,Red,5,Partially,1
REG-05643BAE,United States (Federal),US_FEDERAL,,United States,,Federal Trade Commission Enforcement Action,Data Privacy,Enacted,,20,Red,5,Partially,1
REG-A2412820,"California, USA",US_STATE,,California,CA,California State Law (2016),ALPR/LPR,Enacted,2026-02-28,20,Red,5,Partially,1
REG-D5011E2D,United States (Federal),US_FEDERAL,,United States,,Executive Order banning Anthropic,AI,Enacted,2026-02-28,20,Red,5,Partially,1
REG-A557A8B0,United States (Federal),US_FEDERAL,,United States,,FCC Foreign-Produced UAS Prohibition,Drones/UAS,Enacted,2025-12-31,20,Red,5,Partially,2
REG-5CBFFC7E,"New York, USA",US_STATE,,New York,NY,RAISE Act (Responsible AI Safety and Education Act),AI,Enacted,2025-12-31,20,Red,5,Partially,2
REG-460F6FEF,United States (Federal),US_FEDERAL,,United States,,FEMA C-UAS Grant Program,Drones/UAS,Enacted,2025-12-31,20,Red,5,Partially,2
REG-5F5E37AA,"Texas, USA",US_STATE,,Texas,TX,Unspecified New State Laws (2026),Biometrics,Enacted,2026-01-01,20,Red,5,Partially,1
REG-14B6FE57,United States (Federal),US_FEDERAL,,United States,,FCC Public Notice on Foreign-Produced UAS,Drones/UAS,Enacted,2025-12-22,20,Red,5,Partially,1
REG-89A0691E,United States (Federal),US_FEDERAL,,United States,,Executive Order on AI Regulation,AI,Enacted,2025-12-11,20,Red,5,Partially,3
REG-DD8BDB71,"California, USA",US_STATE,,California,CA,Senate Bill 53 (Transparency in Frontier AI Act),AI,Enacted,2026-01-01,20,Red,5,Partially,1
REG-EF09ACDF,United States (Federal),US_FEDERAL,,United States,,FTC Consent Order (Rytr LLC),AI,Enacted,2026-01-02,20,Red,5,Partially,1
REG-D0BCC7F8,United States (Federal),US_FEDERAL,,United States,,Executive Order / Divestment Order,AI,Enacted,2026-01-03,20,Red,5,Partially,1
REG-F3D588F7,United States (Federal),US_FEDERAL,,United States,,FCC Covered List Expansion,Drones/UAS,Enacted,2026-01-03,20,Red,5,Partially,1
REG-B720B438,United States (Federal),US_FEDERAL,,United States,,Biometric Identifier Information Law (NYC Admin Code),Biometrics,Enacted,,20,Red,5,Partially,1
REG-8948FED6,United States (Federal),US_FEDERAL,,United States,,Illinois ALPR Statute,ALPR/LPR,Enacted,,20,Red,5,Partially,1
REG-96CC25C7,"New York, USA",US_STATE,,New York,NY,Responsible AI Safety And Education Act,AI,Enacted,2026-01-06,20,Red,5,Partially,1
REG-3D6EAA04,"New York, USA",US_STATE,,New York,NY,Biometric Data Retention/Signage Rules,Biometrics,Enacted,2026-01-06,20,Red,5,Partially,1
REG-F8F35D96,"California, USA",US_STATE,,California,CA,CPRA (California Privacy Rights Act),Data Privacy,Enacted,2025-10-06,20,Red,5,Partially,4
REG-BCA739C2,United States (Federal),US_FEDERAL,,United States,,FCC Ban on Foreign-Made Drones,Drones/UAS,Enacted,2026-01-07,20,Red,5,Partially,1
REG-312ADF18,"New York, USA",US_STATE,,New York,NY,NYC Biometric Identifier Information Law,Biometrics,Enacted,2021-01-01,20,Red,5,Partially,1
REG-2BCBEA11,United States (Federal),US_FEDERAL,,United States,,FTC Investigation (Instacart),AI,Enacted,2026-01-07,20,Red,5,Partially,1
REG-63CE0028,"Virginia, USA",US_STATE,,Virginia,VA,Consumer Data Protection Act (CDPA),Biometrics,Enacted,2023-01-01,20,Red,5,Partially,1
